"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","RT @uzeekhanjee: I #misyou too Ì†ΩÌ∏¢ https://t.co/ntTDesjfVg",FALSE,0,NA,2017-05-14 11:39:08,FALSE,NA,"863720330933805057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SHERRY08021999",235,TRUE,FALSE,NA,NA
"19","#MisYou ypu will be missed",FALSE,0,NA,2017-05-14 11:39:08,FALSE,NA,"863720330757623808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Faftab24",0,FALSE,FALSE,NA,NA
"20","RT @nosh_i: This breaks my heart....
Thank you for the memories &amp; your contribution! #MisYou #MisbahYounis https://t.co/i4gIy15aeb",FALSE,0,NA,2017-05-14 11:39:08,FALSE,NA,"863720329511915521",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SattarSpeaks",83,TRUE,FALSE,NA,NA
"21","RT @Arslan_Sadiq: Misbah and Younis
We Say Good Bye
We will #MisYou https://t.co/pSMobKbc9x",FALSE,0,NA,2017-05-14 11:39:07,FALSE,NA,"863720327754461185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","loreenburris141",2836,TRUE,FALSE,NA,NA
"22","RT @RehamKhanI: Please win this test for the #MisYou legends",FALSE,0,NA,2017-05-14 11:38:53,FALSE,NA,"863720265565515778",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Himayatullah64",3,TRUE,FALSE,NA,NA
"23","#misyou legends ALWAYS LIVE IN OUR HEARTS https://t.co/w8FLmG4aRm",FALSE,0,NA,2017-05-14 11:38:48,FALSE,NA,"863720246519222272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KHALIL1767",0,FALSE,FALSE,NA,NA
"24","RT @007Bilawal: Thank you misbah bhai nd younis bhai #MisYou https://t.co/b0k01ZrbF3",FALSE,0,NA,2017-05-14 11:38:41,FALSE,NA,"863720214848049152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shehroz_Sk",88,TRUE,FALSE,NA,NA
"25","RT @Arslan_Sadiq: Thank You Misbah and #YounisKhan
#Legends of Cricket
Pride of Pakistan
We will #MisYou https://t.co/9mYzCrqGTB",FALSE,0,NA,2017-05-14 11:38:36,FALSE,NA,"863720196648951808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeanninetowns16",2786,TRUE,FALSE,NA,NA
"26","Two legends of cricket! Ì†ºÌ∑µÌ†ºÌ∑∞ Thanks for the memories Misbah and Younis !
#MisYou https://t.co/DGHlXMSHoV",FALSE,0,NA,2017-05-14 11:38:12,FALSE,NA,"863720095155204096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Qai_kam",0,FALSE,FALSE,NA,NA
"27","RT @iamusamamir: What a beautiful image #MisYou https://t.co/bWvlSPFk4Q",FALSE,0,NA,2017-05-14 11:38:10,FALSE,NA,"863720086963716096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","36e52a28a84046c",226,TRUE,FALSE,NA,NA
