"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"8468","Thank you Misbah #MisYou",FALSE,0,NA,2017-05-13 18:32:02,FALSE,NA,"863461850209538050",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AuniShah",0,FALSE,FALSE,NA,NA
"8469","RT @ESPNcricinfo: Misbah-ul-Haq and Younis Khan together at the crease for the final time in Test cricket 

https://t.co/bclaPv1C52 #MisYou‚Ä¶",FALSE,0,NA,2017-05-13 18:32:01,FALSE,NA,"863461848817033216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Satpara299",392,TRUE,FALSE,NA,NA
"8470",".@captainmisbahpk Queen Ì†ΩÌ∏ò Flying kiss to his King
#PAKvWI #MisYou https://t.co/5n9z2cvMvK",FALSE,1,"Sarcastifieded",2017-05-13 18:32:01,FALSE,"863461279180218368","863461846950531073","807617959120306176","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sarcastifieded",0,FALSE,FALSE,NA,NA
"8471","RT @AmmarAshraf: Guard of Honour by pakistan team. Misbah leaving the fiel Uff #MisYou https://t.co/s7Nb9O4FdL",FALSE,0,NA,2017-05-13 18:32:00,FALSE,NA,"863461844882776064",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","AMFALKI",224,TRUE,FALSE,NA,NA
"8472","RT @AsNr80: Fucking onions in this room #MisYou",FALSE,0,NA,2017-05-13 18:31:59,FALSE,NA,"863461839845429249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hafsa_Khawaja",3,TRUE,FALSE,NA,NA
"8473","#MisbahYounis #MisYou @captainmisbahpk End of an Big ERA! Thank You sir Ì†ΩÌ±èÌ†ºÌøª",FALSE,0,NA,2017-05-13 18:31:59,FALSE,NA,"863461838981398528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MI_Azi",0,FALSE,FALSE,NA,NA
"8474","RT @msmalik102: Well done legend. 
@captainmisbahpk 
#respect 
#kaptan
#misyou 
#thankYouMisbah https://t.co/S6tv59RzIb",FALSE,0,NA,2017-05-13 18:31:59,FALSE,NA,"863461838792663040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pmlnshaban",2,TRUE,FALSE,NA,NA
"8475","RT @ARYSports_Web: West Indies players bid farewell to Misbah and Younis! #MisYou #WIvPAK https://t.co/ZOAJazES5U",FALSE,0,NA,2017-05-13 18:31:58,FALSE,NA,"863461837114945537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smzainmustafa",55,TRUE,FALSE,NA,NA
"8476","RT @ESPNcricinfo: Misbah-ul-Haq's final Test innings ends with a top-edged slog-sweep!  

 https://t.co/bclaPvjcWA #MisYou #WIvPAK https://‚Ä¶",FALSE,0,NA,2017-05-13 18:31:58,FALSE,NA,"863461836791918595",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrshezad",57,TRUE,FALSE,NA,NA
"8477","RT @AmmarAshraf: Another #MisYou Hug https://t.co/869kPm4JwH",FALSE,0,NA,2017-05-13 18:31:58,FALSE,NA,"863461834782887936",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Hummadali1",19,TRUE,FALSE,NA,NA
"8478","Thank you @captainmisbahpk #MisYou",FALSE,0,NA,2017-05-13 18:31:58,FALSE,NA,"863461833432326145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iMangoAdmi",0,FALSE,FALSE,NA,NA
"8479","From a first-class debut at 24 to retiring as Pakistan's most successful captain at 42: the Misbah story

#MisYou https://t.co/N1oi7qttXL",FALSE,2,NA,2017-05-13 18:31:57,FALSE,NA,"863461829904928770",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Qamber72",2,FALSE,FALSE,NA,NA
"8480","Emotional time. #misyou #lasttests",FALSE,0,NA,2017-05-13 18:31:55,FALSE,NA,"863461824452341764",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaheenAfzal",0,FALSE,FALSE,NA,NA
"8481","RT @AmmarAshraf: Guard of Honour by pakistan team. Misbah leaving the fiel Uff #MisYou https://t.co/s7Nb9O4FdL",FALSE,0,NA,2017-05-13 18:31:54,FALSE,NA,"863461817309437952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bluemagicboxes",224,TRUE,FALSE,NA,NA
"8482","RT @Salmankarim64: Love you Misbah #misyou https://t.co/LiTl7ChgZK",FALSE,0,NA,2017-05-13 18:31:52,FALSE,NA,"863461810506215425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShmaartyBk",1,TRUE,FALSE,NA,NA
"8483","RT @MariamNaqsh: Ok now that got tears in my eyes! farewell to the lone warrior whenever Pakistan needed him! #MisYou #PakvsWI",FALSE,0,NA,2017-05-13 18:31:52,FALSE,NA,"863461809629646849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mehmil82",21,TRUE,FALSE,NA,NA
"8484","#MisYou Waiting for YK's Hundered, will only be the fifth test player to have century in debut and farewell test match
#Legend",FALSE,0,NA,2017-05-13 18:31:52,FALSE,NA,"863461808375517184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zshngull",0,FALSE,FALSE,NA,NA
"8485","End of A great Era of Pakistan test cricket

One of great captain of Pakistan test team
#MisYou https://t.co/NDxEKv8al7",FALSE,10,NA,2017-05-13 18:31:51,FALSE,NA,"863461806404247552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","za_marah",3,FALSE,FALSE,NA,NA
"8486","RT @iamusamamir: What a beautiful image #MisYou https://t.co/bWvlSPFk4Q",FALSE,0,NA,2017-05-13 18:31:51,FALSE,NA,"863461805951246337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_iMevlanayyy_",140,TRUE,FALSE,NA,NA
"8487","RT @SyedRezaMehdi: Misbah-ul-Haq walks off to a guard of honour from his team-mates. This is how legend career comes to an end. #MisYou #WI‚Ä¶",FALSE,0,NA,2017-05-13 18:31:51,FALSE,NA,"863461803732287489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","afsaaaah__",224,TRUE,FALSE,NA,NA
"8488","Might not be his fan of batting but his contribution as a leader to test team has been immense! #MisYou https://t.co/n9EHNHXNKT",FALSE,2,NA,2017-05-13 18:31:50,FALSE,NA,"863461801492697090",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hasssan39",1,FALSE,FALSE,NA,NA
"8489","#MisYou 
Good bye Misbah.    Thankyou for your contribution in Pakistan cricket",FALSE,2,NA,2017-05-13 18:31:49,FALSE,NA,"863461799433297922",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lostguy79",0,FALSE,FALSE,NA,NA
"8490","RT @Khanaghaa: Watched the two legends for the last time together and #MISBAH was the first to depart.
#Misbah
#Younus
#MisYou. https://t.c‚Ä¶",FALSE,0,NA,2017-05-13 18:31:49,FALSE,NA,"863461798049075200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MohsinMumtaz_",16,TRUE,FALSE,NA,NA
"8491","RT @dozybee: Though i didn't want this innings to be ended here but still THANKYOU MISBAH !
Ì†ΩÌ≤öÌ†ΩÌ∏≠ 
#MisYou #ThankYouMisbah",FALSE,0,NA,2017-05-13 18:31:49,FALSE,NA,"863461797185171457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rayyan_says",5,TRUE,FALSE,NA,NA
"8492","RT @iamusamamir: What a beautiful image #MisYou https://t.co/bWvlSPFk4Q",FALSE,0,NA,2017-05-13 18:31:49,FALSE,NA,"863461796673466370",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ikisaPakistani",140,TRUE,FALSE,NA,NA
"8493","Thankyou both of U for your services for Pakistan cricket  #MisYou",FALSE,0,NA,2017-05-13 18:31:48,FALSE,NA,"863461793657696256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","umar_419",0,FALSE,FALSE,NA,NA
"8494","Stay blessed skipper 
#MisYou https://t.co/CDOMplWHcq",FALSE,4,NA,2017-05-13 18:31:47,FALSE,NA,"863461789375311872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WarrichA",1,FALSE,FALSE,NA,NA
"8495","Thankyou Misbah. We all love you. forever and always! #MisYou Ì†ΩÌ∏¢",FALSE,0,NA,2017-05-13 18:31:47,FALSE,NA,"863461788951732224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Disconsolateme",0,FALSE,FALSE,NA,NA
"8496","Good bye misbah!!Ì†ΩÌ±è Miss you!

 #MisYou https://t.co/AESr8Hociw",FALSE,7,NA,2017-05-13 18:31:46,FALSE,NA,"863461786460323841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IamHinaaa",2,FALSE,FALSE,NA,NA
"8497","RT @ESPNcricinfo: Misbah-ul-Haq and Younis Khan together at the crease for the final time in Test cricket 

https://t.co/bclaPv1C52 #MisYou‚Ä¶",FALSE,0,NA,2017-05-13 18:31:46,FALSE,NA,"863461785957003264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaushadAli21",392,TRUE,FALSE,NA,NA
